playerid,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,wardsplaced,wpm,wardskilled,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,deathsat15
0,3.1627906976744184,2.0697674418604652,6.883720930232558,0.27906976744186046,0.09302325581395349,0.023255813953488372,0.0,0.2558139534883721,0.046511627906976744,0.20930232558139536,0.06976744186046512,0.18604651162790697,15245.511627906977,465.70203488372096,0.24143237209302323,465.13937674418605,15.790697674418604,0.48431860465116283,9.953488372093023,7.674418604651163,43.53488372093023,1.3133372093023257,12596.093023255815,8299.232558139534,253.76021162790695,0.22937153488372092,11778.372093023256,265.5813953488372,253.86046511627907,11.720930232558139,8.152732558139535,3402.139534883721,4596.674418604651,85.04651162790698,-45.86046511627907,-2.5813953488372094,0.32558139534883723,0.7906976744186046,0.20930232558139536,5414.767441860465,7405.511627906977,137.8372093023256,-67.30232558139535,-4.186046511627907,0.7441860465116279,1.558139534883721,0.46511627906976744,0.46511627906976744
1,1.0185185185185186,3.0555555555555554,8.74074074074074,0.05555555555555555,0.0,0.0,0.0,0.24074074074074073,0.05555555555555555,0.18518518518518517,0.05555555555555555,0.05555555555555555,4924.37037037037,143.58546666666666,0.07289929074074074,354.8487944444445,64.31481481481481,1.8655814814814815,11.62962962962963,20.27777777777778,97.4074074074074,2.8402851851851856,8010.537037037037,3576.462962962963,105.97847407407407,0.09021457592592592,7245.555555555556,33.907407407407405,33.592592592592595,0.3148148148148148,0.9999462962962964,2236.8333333333335,2369.5925925925926,12.277777777777779,-44.74074074074074,0.7037037037037037,0.24074074074074073,0.8333333333333334,0.48148148148148145,3419.0,3620.537037037037,20.11111111111111,-3.574074074074074,1.2407407407407407,0.4074074074074074,1.7777777777777777,0.8518518518518519,0.8518518518518519
2,4.209302325581396,2.1627906976744184,5.395348837209302,0.7209302325581395,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.13953488372093023,0.023255813953488372,0.11627906976744186,0.046511627906976744,0.3953488372093023,16960.093023255813,508.3488674418605,0.2636801023255814,354.79187906976745,15.976744186046512,0.4797883720930233,12.279069767441861,5.953488372093023,45.81395348837209,1.3652441860465117,13321.906976744185,9025.046511627907,273.9883046511628,0.2486640465116279,12295.558139534884,254.1860465116279,238.7906976744186,15.395348837209303,7.718576744186047,3261.767441860465,3074.9302325581393,74.32558139534883,-30.651162790697676,-2.488372093023256,0.3023255813953488,0.4186046511627907,0.27906976744186046,5408.139534883721,5286.558139534884,120.79069767441861,-5.488372093023256,-5.069767441860465,0.7906976744186046,0.8837209302325582,0.46511627906976744,0.46511627906976744
3,3.0277777777777777,2.611111111111111,4.611111111111111,0.3611111111111111,0.08333333333333333,0.0,0.0,0.19444444444444445,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,16075.055555555555,489.7963027777778,0.2802035277777778,424.0181888888889,14.5,0.45274444444444445,10.38888888888889,5.638888888888889,38.888888888888886,1.1889972222222223,12491.972222222223,8323.444444444445,258.38621666666666,0.2607411388888889,11613.166666666666,266.9166666666667,247.55555555555554,19.36111111111111,8.360091666666667,3299.0,3252.1388888888887,83.27777777777777,81.58333333333333,2.0277777777777777,0.1388888888888889,0.3333333333333333,0.08333333333333333,5397.083333333333,5485.611111111111,132.63888888888889,30.0,1.1388888888888888,0.6944444444444444,0.75,0.2777777777777778,0.2777777777777778
4,3.5428571428571427,2.257142857142857,5.0,0.4857142857142857,0.08571428571428572,0.0,0.0,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.22857142857142856,17149.914285714287,498.0967514285714,0.27782137142857144,376.24112285714284,17.2,0.50536,12.685714285714285,7.0,41.857142857142854,1.2000885714285716,13862.57142857143,9437.257142857143,276.9448828571429,0.2593132857142857,13153.114285714286,294.48571428571427,271.9714285714286,22.514285714285716,8.64626,3451.0285714285715,3268.342857142857,81.57142857142857,201.34285714285716,5.9714285714285715,0.37142857142857144,0.4857142857142857,0.08571428571428572,5455.828571428571,5412.342857142857,128.62857142857143,43.885714285714286,3.6,0.6857142857142857,1.0571428571428572,0.37142857142857144,0.37142857142857144
5,3.0655737704918034,1.9508196721311475,7.262295081967213,0.29508196721311475,0.06557377049180328,0.0,0.0,0.2459016393442623,0.11475409836065574,0.13114754098360656,0.06557377049180328,0.19672131147540983,16465.67213114754,492.9608786885246,0.23981381967213114,440.6285147540984,19.049180327868854,0.5648639344262295,8.852459016393443,9.852459016393443,41.08196721311475,1.2126180327868854,13277.573770491803,8899.377049180328,266.3699606557377,0.2277780655737705,12301.393442622952,276.7704918032787,265.6393442622951,11.131147540983607,8.288409836065574,3454.311475409836,4606.2786885245905,84.73770491803279,57.47540983606557,0.4262295081967213,0.4918032786885246,0.6229508196721312,0.26229508196721313,5482.901639344263,7436.901639344263,137.95081967213116,50.42622950819672,0.21311475409836064,0.7704918032786885,1.2459016393442623,0.45901639344262296,0.45901639344262296
6,2.9285714285714284,2.4285714285714284,6.642857142857143,0.4642857142857143,0.03571428571428571,0.0,0.0,0.32142857142857145,0.17857142857142858,0.14285714285714285,0.03571428571428571,0.17857142857142858,9016.07142857143,270.5976285714286,0.13292559642857144,752.398775,15.107142857142858,0.4483035714285714,14.642857142857142,15.535714285714286,50.285714285714285,1.4833607142857144,11127.25,6747.928571428572,202.4643392857143,0.17176896428571428,10306.07142857143,176.10714285714286,27.821428571428573,148.28571428571428,5.281239285714285,3322.6428571428573,3343.285714285714,63.107142857142854,63.214285714285715,2.7142857142857144,0.6071428571428571,0.6785714285714286,0.39285714285714285,5150.464285714285,5447.857142857143,93.35714285714286,43.857142857142854,-1.7857142857142858,1.0714285714285714,1.75,0.8214285714285714,0.8214285714285714
7,5.454545454545454,1.9090909090909092,6.787878787878788,1.0303030303030303,0.21212121212121213,0.06060606060606061,0.0,0.30303030303030304,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.6666666666666666,21064.060606060608,627.8730878787879,0.27659566666666663,419.2821424242424,17.515151515151516,0.5297878787878788,11.151515151515152,6.666666666666667,45.696969696969695,1.3694363636363638,14741.969696969696,10436.242424242424,317.89915454545456,0.26114530303030303,13075.666666666666,282.45454545454544,258.90909090909093,23.545454545454547,8.577554545454547,3476.090909090909,3073.5151515151515,78.0,-143.84848484848484,-0.6363636363636364,0.7878787878787878,0.45454545454545453,0.18181818181818182,5441.969696969697,5310.090909090909,126.27272727272727,-192.93939393939394,-4.303030303030303,1.121212121212121,0.7878787878787878,0.5454545454545454,0.5454545454545454
8,4.897058823529412,2.6323529411764706,6.205882352941177,0.7941176470588235,0.10294117647058823,0.029411764705882353,0.014705882352941176,0.27941176470588236,0.1323529411764706,0.14705882352941177,0.14705882352941177,0.5147058823529411,20164.54411764706,607.614294117647,0.29184685294117646,451.9176323529412,18.514705882352942,0.5679058823529413,12.970588235294118,8.470588235294118,46.9264705882353,1.4229132352941176,14564.176470588236,10309.70588235294,315.3842323529411,0.26869539705882356,13515.867647058823,292.86764705882354,272.70588235294116,20.16176470588235,8.993383823529413,3437.970588235294,3214.485294117647,80.16176470588235,20.88235294117647,0.8235294117647058,0.4264705882352941,0.6176470588235294,0.36764705882352944,5622.764705882353,5500.014705882353,128.66176470588235,78.94117647058823,1.2794117647058822,1.0588235294117647,1.3676470588235294,0.7205882352941176,0.7205882352941176
9,0.3125,3.5,8.5625,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0625,0.0,4371.25,137.53388125,0.07300296249999999,395.94631875,46.0625,1.41321875,9.8125,14.3125,73.0,2.246325,7199.25,2975.125,91.90119375,0.08628874375000001,6606.875,29.3125,29.3125,0.0,0.9238625,2246.625,2385.25,10.5625,-49.8125,-10.125,0.1875,1.125,0.4375,3450.625,3786.875,17.4375,-25.75,-16.4375,0.1875,2.375,1.0,1.0
