playerid,playername
13,Robo
63,Tay
62,tinowns
55,DudsTheBoy
70,Ceos
34,fNb
65,Ranger
61,Envy
48,Netuno
1,RedBert
33,DoRun
41,Croc
66,Anyyy
78,Drop
24,Hawk
38,Boal
28,asta
51,Tutsz
4,Flare
31,Bounty
22,Parang
20,Wiz
57,Hauz
68,Disave
40,Scuro
23,Tyrin
36,Yampi
12,Kick
3,micaO
45,Decoy
14,Ayel
53,Minerva
73,Goku
52,Hades
27,Guard
71,Guigo
42,Aegis
76,Grevthar
8,TitaN
25,Jojo
35,Kiari
54,Disamis
0,Krastyel
2,Matsukaze
77,Wos
46,Wizer
10,CarioK
5,dyNquedo
69,Trigo
67,Damage
39,Gyeong
56,Avenger
18,Celo
50,Kuri
19,Sting
59,Trap
26,NinjaKiwi
9,Mocha
75,Muja
17,Edger
47,Mito
74,Betão
72,Hidan
44,NOsFerus
21,Jockster
16,Cavalo
43,Hugato
30,Sive
6,Goot
49,Geum go
7,Brance
60,Telas
15,Zecas
11,Erasus
64,Evrot
58,Mewkyo
29,Yuki
32,Vitin
37,Mido
