gameid,playoffs,game,patch,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,teamid_blue,top_red,jng_red,mid_red,bot_red,sup_red,teamid_red,result
ESPORTSTMNT01_2770671,0,1,12.04,38,19,51,4,50,1,23,36,75,3,45,12,1
ESPORTSTMNT01_2770695,0,1,12.04,33,41,66,18,24,9,17,53,73,26,9,10,1
ESPORTSTMNT01_2781109,0,1,12.04,23,36,75,3,45,12,13,63,62,55,70,4,0
ESPORTSTMNT01_2781166,0,1,12.04,46,10,5,69,67,2,38,19,51,4,50,1,1
ESPORTSTMNT01_2781212,0,1,12.04,71,42,56,8,25,5,33,41,66,18,24,9,1
ESPORTSTMNT01_2781245,0,1,12.04,35,54,0,2,77,7,22,20,57,68,40,11,0
ESPORTSTMNT01_2781270,0,1,12.04,17,53,73,26,9,10,34,65,61,48,1,0,1
ESPORTSTMNT01_2783230,0,1,12.04,22,20,57,68,40,11,71,42,56,8,25,5,1
ESPORTSTMNT02_2660083,0,1,12.05,33,41,66,18,24,9,35,54,0,2,77,7,1
ESPORTSTMNT02_2660115,0,1,12.05,38,19,51,4,50,1,17,53,73,26,9,10,0
ESPORTSTMNT02_2660149,0,1,12.05,13,63,62,55,70,4,22,20,57,68,40,11,0
ESPORTSTMNT02_2660180,0,1,12.05,34,65,61,48,1,0,71,42,56,8,25,5,1
ESPORTSTMNT02_2660207,0,1,12.05,23,36,12,3,45,12,46,10,5,69,67,2,0
ESPORTSTMNT02_2660440,0,1,12.05,22,20,57,68,40,11,33,41,66,18,24,9,0
ESPORTSTMNT02_2660501,0,1,12.05,59,53,73,26,9,10,23,36,12,3,45,12,1
ESPORTSTMNT02_2660536,0,1,12.05,71,42,56,8,25,5,38,19,51,4,50,1,0
ESPORTSTMNT02_2660574,0,1,12.05,46,10,5,69,67,2,13,63,62,55,70,4,1
ESPORTSTMNT02_2660639,0,1,12.05,35,54,0,2,77,7,34,65,61,48,1,0,1
ESPORTSTMNT03_2651434,0,1,12.05,46,10,5,69,67,2,59,53,73,26,9,10,1
ESPORTSTMNT03_2651447,0,1,12.05,34,65,61,48,1,0,22,20,57,68,40,11,0
ESPORTSTMNT03_2651460,0,1,12.05,47,28,51,4,39,1,35,54,0,2,77,7,0
ESPORTSTMNT03_2651473,0,1,12.05,23,36,12,3,45,12,71,42,76,8,25,5,0
ESPORTSTMNT03_2651501,0,1,12.05,13,63,62,55,70,4,33,41,66,18,24,9,0
ESPORTSTMNT03_2631752,0,1,12.05,35,54,0,2,77,7,23,36,12,3,45,12,1
ESPORTSTMNT03_2631762,0,1,12.05,59,53,73,26,9,10,13,63,62,55,70,4,0
ESPORTSTMNT03_2631796,0,1,12.05,33,41,66,18,24,9,34,65,61,48,1,0,0
ESPORTSTMNT03_2631825,0,1,12.05,22,20,57,68,40,11,47,28,51,4,39,1,1
ESPORTSTMNT03_2631856,0,1,12.05,71,42,76,8,25,5,46,10,5,69,67,2,0
ESPORTSTMNT03_2653081,1,1,12.05,33,41,66,18,24,9,35,54,0,2,77,7,0
ESPORTSTMNT03_2653100,1,2,12.05,35,54,0,2,77,7,33,41,66,18,24,9,1
ESPORTSTMNT03_2653118,1,3,12.05,35,54,0,2,77,7,33,41,66,18,24,9,1
ESPORTSTMNT03_2633616,1,1,12.05,22,20,57,68,40,11,71,42,76,8,25,5,1
ESPORTSTMNT03_2633644,1,2,12.05,74,42,56,8,25,5,22,20,57,68,40,11,0
ESPORTSTMNT03_2633657,1,3,12.05,74,42,56,8,25,5,22,20,57,68,40,11,0
ESPORTSTMNT03_2653763,1,1,12.05,46,10,5,69,67,2,34,65,61,48,1,0,1
ESPORTSTMNT03_2653778,1,2,12.05,34,65,61,48,1,0,46,10,5,69,67,2,1
ESPORTSTMNT03_2653794,1,3,12.05,34,65,61,48,1,0,46,10,5,69,67,2,1
ESPORTSTMNT03_2653842,1,4,12.05,46,10,5,69,67,2,34,65,61,48,1,0,1
ESPORTSTMNT03_2653869,1,5,12.05,34,65,61,48,1,0,46,10,5,69,67,2,0
ESPORTSTMNT03_2655697,1,1,12.05,71,42,76,8,25,5,35,54,0,2,77,7,0
ESPORTSTMNT03_2635924,1,2,12.05,71,42,76,8,25,5,35,54,0,2,77,7,1
ESPORTSTMNT03_2635930,1,3,12.05,35,54,0,2,77,7,71,42,76,8,25,5,0
ESPORTSTMNT03_2635949,1,4,12.05,35,54,0,2,77,7,71,42,76,8,25,5,1
ESPORTSTMNT03_2635970,1,5,12.05,71,42,76,8,25,5,35,54,0,2,77,7,1
ESPORTSTMNT03_2655923,1,1,12.05,22,20,57,68,40,11,46,10,5,69,67,2,0
ESPORTSTMNT03_2655944,1,2,12.05,22,20,57,68,40,11,46,10,5,69,67,2,0
ESPORTSTMNT03_2655962,1,3,12.05,46,10,5,69,67,2,22,20,57,68,40,11,1
ESPORTSTMNT03_2657090,1,1,12.05,34,65,61,48,1,0,71,42,76,8,25,5,0
ESPORTSTMNT03_2657101,1,2,12.05,71,42,76,8,25,5,34,65,61,48,1,0,0
ESPORTSTMNT03_2657112,1,3,12.05,71,42,76,8,25,5,34,65,61,48,1,0,1
ESPORTSTMNT03_2657120,1,4,12.05,71,42,76,8,25,5,34,65,61,48,1,0,1
ESPORTSTMNT03_2637518,1,1,12.05,71,42,76,8,25,5,22,20,57,68,40,11,0
ESPORTSTMNT03_2637520,1,2,12.05,71,42,76,8,25,5,22,20,57,68,40,11,1
ESPORTSTMNT03_2637524,1,3,12.05,71,42,76,8,25,5,22,20,57,68,40,11,1
ESPORTSTMNT03_2637527,1,4,12.05,22,20,57,68,40,11,71,42,76,8,25,5,0
ESPORTSTMNT03_2658136,1,1,12.05,71,42,76,8,25,5,46,10,5,69,67,2,0
ESPORTSTMNT03_2638459,1,2,12.05,71,42,76,8,25,5,46,10,5,69,67,2,1
ESPORTSTMNT03_2638460,1,3,12.05,71,42,76,8,25,5,46,10,5,69,67,2,0
ESPORTSTMNT03_2658140,1,4,12.05,71,42,76,8,25,5,46,10,5,69,67,2,1
ESPORTSTMNT03_2658141,1,5,12.05,71,42,76,8,25,5,46,10,5,69,67,2,1
ESPORTSTMNT02_2778045,0,1,12.1,46,10,5,69,67,2,71,42,76,8,25,5,0
ESPORTSTMNT02_2778108,0,1,12.1,72,36,44,3,21,12,59,53,73,26,9,10,1
ESPORTSTMNT02_2778137,0,1,12.1,35,54,0,2,16,7,33,43,66,18,30,3,1
ESPORTSTMNT02_2778177,0,1,12.1,34,6,61,48,1,0,22,20,57,55,40,11,1
ESPORTSTMNT02_2778214,0,1,12.1,63,49,51,4,50,6,13,41,62,7,70,4,0
ESPORTSTMNT02_2788841,0,1,12.1,34,6,61,48,1,0,35,54,0,2,16,7,1
ESPORTSTMNT02_2788976,0,1,12.1,22,20,57,55,40,11,63,49,51,4,50,6,1
ESPORTSTMNT02_2789001,0,1,12.1,33,43,66,18,30,3,72,36,44,3,21,12,1
ESPORTSTMNT02_2789075,0,1,12.1,13,41,62,7,70,4,46,10,5,69,67,2,0
ESPORTSTMNT02_2789167,0,1,12.1,59,53,73,26,9,10,71,42,76,8,60,5,0
ESPORTSTMNT03_2791281,0,1,12.11,13,41,62,7,70,4,22,20,57,55,40,11,0
ESPORTSTMNT03_2791310,0,1,12.11,72,36,44,3,21,12,34,6,61,48,1,0,0
ESPORTSTMNT03_2791354,0,1,12.11,35,54,0,2,16,7,63,49,51,4,50,6,0
ESPORTSTMNT03_2791374,0,1,12.11,71,42,76,8,25,5,33,43,66,18,30,3,1
ESPORTSTMNT03_2791433,0,1,12.11,46,10,5,69,67,2,59,53,73,26,9,10,1
ESPORTSTMNT03_2791857,0,1,12.11,13,41,62,7,70,4,35,54,0,2,16,7,1
ESPORTSTMNT03_2791916,0,1,12.11,22,20,57,55,40,11,46,10,5,69,67,2,0
ESPORTSTMNT03_2791942,0,1,12.11,63,49,51,4,50,6,72,36,44,3,21,12,1
ESPORTSTMNT03_2791989,0,1,12.11,34,6,61,48,1,0,71,42,76,8,25,5,1
ESPORTSTMNT03_2792056,0,1,12.11,33,43,66,18,30,3,59,53,73,26,9,10,1
ESPORTSTMNT03_2796608,0,1,12.11,72,36,44,3,21,12,13,41,62,7,70,4,0
ESPORTSTMNT03_2796690,0,1,12.11,46,10,5,69,67,2,33,43,66,18,30,3,1
ESPORTSTMNT03_2796722,0,1,12.11,38,42,76,8,25,5,63,49,51,4,50,6,1
ESPORTSTMNT03_2796743,0,1,12.11,35,54,0,2,16,7,22,20,57,55,40,11,1
ESPORTSTMNT03_2796796,0,1,12.11,59,53,73,26,9,10,34,65,61,48,1,0,1
ESPORTSTMNT03_2797366,0,1,12.11,35,54,0,2,16,7,46,10,5,69,67,2,1
ESPORTSTMNT03_2797418,0,1,12.11,13,41,62,7,70,4,38,42,76,8,25,5,0
ESPORTSTMNT03_2797537,0,1,12.11,34,6,61,48,1,0,33,43,66,18,30,3,1
ESPORTSTMNT03_2797565,0,1,12.11,63,49,51,4,50,6,59,53,73,26,9,10,1
ESPORTSTMNT03_2797609,0,1,12.11,22,20,57,55,40,11,72,36,44,3,21,12,1
ESPORTSTMNT04_2410410,0,1,12.12,33,43,66,18,30,3,63,49,51,4,50,6,1
ESPORTSTMNT04_2410427,0,1,12.12,15,11,64,26,9,10,13,41,62,7,70,4,0
ESPORTSTMNT04_2410445,0,1,12.12,38,42,76,8,25,5,22,20,57,55,40,11,1
ESPORTSTMNT04_2410459,0,1,12.12,46,10,5,69,67,2,34,6,61,48,1,0,1
ESPORTSTMNT04_2410478,0,1,12.12,72,36,44,3,21,12,35,54,0,2,16,7,0
ESPORTSTMNT04_2430673,0,1,12.12,22,20,57,55,40,11,15,11,64,26,9,10,1
ESPORTSTMNT04_2430681,0,1,12.12,35,54,0,2,16,7,38,42,76,8,25,5,0
